YEAR MONTH DAY HOUR TEMP HUMIDITY WIND_SPEED CLOUD_COVER
2023 1 1 0 15.5 65.0 5.2 20.0
2023 1 1 1 14.8 68.0 4.9 25.0
2023 1 1 2 14.2 70.0 4.6 30.0
2023 1 1 3 13.9 72.0 4.3 35.0
2023 1 1 4 13.5 75.0 4.0 40.0
2023 1 1 5 13.2 78.0 3.8 45.0
2023 1 1 6 13.0 80.0 3.5 50.0
2023 1 1 7 13.5 75.0 4.0 40.0
2023 1 1 8 14.5 70.0 4.5 30.0
2023 1 1 9 16.0 65.0 5.0 20.0
2023 1 1 10 18.0 60.0 5.5 10.0
2023 1 1 11 20.0 55.0 6.0 5.0
2023 1 1 12 22.0 50.0 6.5 0.0
2023 1 1 13 24.0 45.0 7.0 0.0
2023 1 1 14 26.0 40.0 7.5 0.0
2023 1 1 15 28.0 35.0 8.0 0.0
2023 1 1 16 27.0 38.0 7.8 5.0
2023 1 1 17 25.0 42.0 7.2 10.0
2023 1 1 18 23.0 48.0 6.8 15.0
2023 1 1 19 21.0 55.0 6.2 20.0
2023 1 1 20 19.0 60.0 5.8 25.0
2023 1 1 21 17.0 65.0 5.3 30.0
2023 1 1 22 16.0 68.0 5.0 35.0
2023 1 1 23 15.0 70.0 4.7 40.0
2023 1 2 0 14.5 72.0 4.4 45.0
2023 1 2 1 14.0 74.0 4.1 50.0
2023 1 2 2 13.5 76.0 3.9 55.0
2023 1 2 3 13.0 78.0 3.6 60.0
2023 1 2 4 12.5 80.0 3.3 65.0
2023 1 2 5 12.0 82.0 3.0 70.0
2023 1 2 6 11.5 84.0 2.8 75.0
2023 1 2 7 12.0 80.0 3.2 65.0
2023 1 2 8 13.0 75.0 3.8 55.0
2023 1 2 9 14.5 70.0 4.5 45.0
2023 1 2 10 16.5 65.0 5.2 35.0
2023 1 2 11 18.5 60.0 5.9 25.0
2023 1 2 12 20.5 55.0 6.5 15.0
2023 1 2 13 22.5 50.0 7.0 5.0
2023 1 2 14 24.5 45.0 7.5 0.0
2023 1 2 15 26.5 40.0 8.0 0.0
2023 1 2 16 25.5 43.0 7.7 5.0
2023 1 2 17 23.5 47.0 7.1 10.0
2023 1 2 18 21.5 52.0 6.6 15.0
2023 1 2 19 19.5 58.0 6.0 20.0
2023 1 2 20 17.5 63.0 5.6 25.0
2023 1 2 21 15.5 68.0 5.1 30.0
2023 1 2 22 14.5 71.0 4.8 35.0
2023 1 2 23 13.5 73.0 4.5 40.0
2023 1 3 0 13.0 75.0 4.2 45.0
2023 1 3 1 12.5 77.0 3.9 50.0
2023 1 3 2 12.0 79.0 3.7 55.0
2023 1 3 3 11.5 81.0 3.4 60.0
2023 1 3 4 11.0 83.0 3.1 65.0
2023 1 3 5 10.5 85.0 2.9 70.0
2023 1 3 6 10.0 87.0 2.6 75.0
2023 1 3 7 10.5 83.0 3.0 65.0
2023 1 3 8 11.5 78.0 3.6 55.0
2023 1 3 9 13.0 73.0 4.3 45.0
2023 1 3 10 15.0 68.0 5.0 35.0
2023 1 3 11 17.0 63.0 5.7 25.0
2023 1 3 12 19.0 58.0 6.3 15.0
2023 1 3 13 21.0 53.0 6.8 5.0
2023 1 3 14 23.0 48.0 7.3 0.0
2023 1 3 15 25.0 43.0 7.8 0.0
2023 1 3 16 24.0 46.0 7.5 5.0
2023 1 3 17 22.0 50.0 6.9 10.0
2023 1 3 18 20.0 55.0 6.4 15.0
2023 1 3 19 18.0 60.0 5.8 20.0
2023 1 3 20 16.0 65.0 5.4 25.0
2023 1 3 21 14.0 70.0 4.9 30.0
2023 1 3 22 13.0 72.0 4.6 35.0
2023 1 3 23 12.0 74.0 4.3 40.0
